Milliy hisoblar, yillik;2010y.;2011y.;2012y.;2013y.;2014y.;2015y.;2016y.;2017y.;2018y.;
Joriy narxlarda ishlab chiqarish usulida hisoblangan yalpi ichki mahsulot, milliy valyutada, mird. so`m;74,042.0;96,949.6;120,242.0;144,548.3;177,153.9;210,183.1;242,495.5;302,536.8;406,648.5;
Tarmoqlarning yalpi qo'shilgan qiymati;64,578.4;85,322.1;105,925.2;128,619.9;158,773.5;190,036.2;220,064.0;267,744.8;361,072.7;
Qishloq, o`rmon va baliq xo`jaligi;21,251.3;30,658.6;36,954.6;42,636.8;53,613.2;64,680.3;74,779.0;90,983.9;113,660.7;
Sanoat;12,997.3;15,951.8;20,462.7;25,388.7;32,136.7;38,466.6;45,397.9;59,570.4;95,803.9;
Tog`-kon sanoati  va ochiq konlarni ishlash ;3,298.7;3,511.6;4,987.3;5,463.8;5,421.8;6,449.1;5,960.0;10,433.7;20,057.0;
Ishlab chiqaradigan sanoat                                                  ;8,036.6;10,576.3;13,442.1;17,806.4;23,705.6;28,353.9;34,875.4;43,861.9;68,971.8;
Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash                                                  ;1,593.2;1,770.0;1,922.6;1,968.1;2,801.0;3,391.6;4,199.7;4,772.8;5,869.9;
Suv bilan ta`minlash; kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish                                                  ;68.8;93.9;110.7;150.4;208.3;272.0;362.8;502.0;905.2
Qurilish;3,760.6;4,465.5;5,601.4;7,258.2;9,098.2;11,382.6;13,148.0;15,228.6;22,101.1;
Savdo, yashash va ovqatlanish bo`yicha xizmatlar                                                  ;5,982.7;7,619.7;8,956.2;11,217.9;13,836.3;16,145.3;18,755.4;21,540.6;26,747.9;
Ulgurji va chakana savdo;  motorli transport vositalari va  mototsikllarni ta`mirlash                                                  ;5,551.5;7,035.8;8,228.2;10,277.1;12,717.6;14,819.2;17,094.5;19,560.6;24,233.5
Yashash va ovqatlanish bo`yicha xizmatlar                                                  ;431.2;583.9;728.0;940.8;1,118.7;1,326.1;1,660.9;1,980.0;2,514.4;
Tashish va saqlash, axborot va aloqa                                                                ;7,337.8;9,432.3;11,911.0;14,609.1;17,003.8;19,158.2;21,113.0;25,305.5;30,616.0;
Tashish va saqlash                                                  ;6,090.0;7,851.8;9,871.1;12,173.2;14,052.3;15,670.5;16,693.7;19,655.9;23,611.3;
Axborot va aloqa                                                  ;1,247.8;1,580.5;2,039.9;2,435.9;2,951.5;3,487.7;4,419.3;5,649.6;7,004.7;
Boshqa turdagi xizmatlar ko`rsatish                                                  ;13,248.7;17,194.2;22,039.3;27,509.2;33,085.3;40,203.2;46,870.7;55,115.8;72,143.1;
Mahsulotlarga sof soliqlar;9,463.6;11,627.5;14,316.8;15,928.4;18,380.4;20,146.9;22,431.5;34,792.0;45,575.8;
Doimiy narhlarda ishlab chiqarish usulida hisoblangan yalpi ichki mahsulot, o'tgan yil narxlarida, milliy valyutada, mird. so`m;62,248.4;79,806.1;104,100.3;129,361.8;154,926.0;190,347.8;222,992.1;253,314.5;319,014.3;
Tarmoqlarning yalpi qo'shilgan qiymati;54,936.5;69,720.0;91,978.5;114,081.6;138,030.0;170,777.5;201,700.5;229,614.1;282,170.7;
Qishloq, o`rmon va baliq xo`jaligi;17,878.4;22,543.1;32,793.4;39,334.3;45,188.0;56,884.8;68,669.9;75,640.2;91,214.6;
Sanoat;11,370.3;13,565.9;16,864.6;21,996.6;26,530.6;33,845.1;40,562.5;47,759.2;66,030.0;
Tog`-kon sanoati  va ochiq konlarni ishlash ;2,973.4;3,250.4;3,822.3;4,818.3;5,090.1;5,577.8;6,501.7;7,010.7;13,202.9;
Ishlab chiqaradigan sanoat                                                  ;6,895.4;8,690.2;11,238.6;15,117.5;19,223.2;25,101.1;30,247.9;36,345.8;47,347.5;
Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash                                                  ;1,445.9;1,545.4;1,704.6;1,941.8;2,048.8;2,943.9;3,513.7;4,010.8;4,920.7;
Suv bilan ta`minlash; kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish                                                  ;55.6;79.9;99.2;119.0;168.5;222.4;299.1;392.0;558.9
Qurilish;3,297.8;4,063.6;5,111.0;6,631.3;8,538.9;10,808.7;12,205.6;13,942.8;17,405.7;
Savdo, yashash va ovqatlanish bo`yicha xizmatlar                                                  ;5,261.1;6,920.7;8,177.6;10,193.4;12,393.5;15,398.3;17,641.5;19,143.5;22,693.1;
Ulgurji va chakana savdo;  motorli transport vositalari va  mototsikllarni ta`mirlash                                                  ;4,903.0;6,412.0;7,543.2;9,384.7;11,307.4;14,095.8;16,111.7;17,271.2;20,561.0
Yashash va ovqatlanish bo`yicha xizmatlar                                                  ;358.1;508.7;634.4;808.7;1,086.2;1,302.5;1,529.8;1,872.3;2,132.1;
Tashish va saqlash, axborot va aloqa                                                                ;6,500.8;8,162.3;10,475.8;12,310.3;15,610.3;18,036.5;20,211.8;23,507.6;27,046.2;
Tashish va saqlash                                                  ;5,111.7;6,449.4;8,374.2;10,173.8;12,732.8;14,614.8;16,234.0;18,155.9;20,518.3;
Axborot va aloqa                                                  ;1,389.1;1,712.9;2,101.6;2,136.5;2,877.5;3,421.7;3,977.8;5,351.7;6,527.9;
Boshqa turdagi xizmatlar ko`rsatish                                                  ;10,628.0;14,464.3;18,556.2;23,615.7;29,768.7;35,804.2;42,409.4;49,620.6;57,781.1;
Mahsulotlarga sof soliqlar;7,311.9;10,086.1;12,121.7;15,280.3;16,895.9;19,570.2;21,291.5;23,700.5;36,843.6;
Doimiy narhlarda ishlab chiqarish usulida hisoblangan yalpi ichki mahsulot, o'tgan yil narxlarida, foiz hisobida ;107.3;107.8;107.4;107.6;107.2;107.4;106.1;104.5;105.4;
Tarmoqlarning yalpi qo'shilgan qiymati;107.7;108.0;107.8;107.7;107.3;107.6;106.1;104.3;105.4;
Qishloq, o`rmon va baliq xo`jaligi;106.1;106.1;107.0;106.4;106.0;106.1;106.2;101.2;100.3;
Sanoat;105.9;104.4;105.7;107.5;104.5;105.3;105.4;105.2;110.8;
Tog`-kon sanoati  va ochiq konlarni ishlash ;94.8;98.5;108.8;96.6;93.2;102.9;100.8;117.6;126.5;
Ishlab chiqaradigan sanoat                                                  ;108.9;108.1;106.3;112.5;108.0;105.9;106.7;104.2;107.9;
Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash                                                  ;118.5;97.0;96.3;101.0;104.1;105.1;103.6;95.5;103.1;
Suv bilan ta`minlash; kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish                                                  ;118.6;116.1;105.6;107.5;112.0;106.8;110.0;108.0;111.3
Qurilish;104.2;108.1;114.5;118.4;117.6;118.8;107.2;106.0;114.3;
Savdo, yashash va ovqatlanish bo`yicha xizmatlar                                                  ;116.5;115.7;107.3;113.8;110.5;111.3;109.3;102.1;105.4;
