Joriy narxlarda ishlab chiqarish usulida hisoblangan yalpi ichki mahsulot, milliy valyutada, mird. so'm;74042,00;96949,60;120242,00;144548,30;177153,90;210183,10;242495,50;302536,80;406648,50
Tarmoqlarning yalpi qo'shilgan qiymati;64578,40;85322,10;105925,20;128619,90;158773,50;190036,20;220064,00;267744,80;361072,70
Qishloq, o`rmon va baliq xo`jaligi;21251,30;30658,60;36954,60;42636,80;53613,20;64680,30;74779,00;90983,90;113660,70
Sanoat;12997,30;15951,80;20462,70;25388,70;32136,70;38466,60;45397,90;59570,40;95803,90
Tog`-kon sanoati  va ochiq konlarni ishlash ;3298,70;3511,60;4987,30;5463,80;5421,80;6449,10;5960,00;10433,70;20057,00
Ishlab chiqaradigan sanoat ;8036,60;10576,30;13442,10;17806,40;23705,60;28353,90;34875,40;43861,90;68971,80
Elektr,  gaz, bug` bilan ta`minlash va havoni  konditsiyalash ;1593,20;1770,00;1922,60;1968,10;2801,00;3391,60;4199,70;4772,80;5869,90
Suv bilan ta`minlash, kanalizatsiya tizimi, chiqindilarni yig`ish va utilizatsiya qilish ;68,80;93,90;110,70;150,40;208,30;272,00;362,80;502,00;905,2,
Qurilish;3760,60;4465,50;5601,40;7258,20;9098,20;11382,60;13148,00;15228,60;22101,10
Savdo, yashash va ovqatlanish bo`yicha xizmatlar ;5982,70;7619,70;8956,20;11217,90;13836,30;16145,30;18755,40;21540,60;26747,90
Ulgurji va chakana savdo motorli transport vositalari va  mototsikllarni ta`mirlash ;5551,50;7035,80;8228,20;10277,10;12717,60;14819,20;17094,50;19560,60;24233,50
Yashash va ovqatlanish bo`yicha xizmatlar ;431,20;583,90;728,00;940,80;1118,70;1326,10;1660,90;1980,00;2514,40
Tashish va saqlash, axborot va aloqa ;7337,80;9432,30;11911,00;14609,10;17003,80;19158,20;21113,00;25305,50;30616,00
Tashish va saqlash ;6090,00;7851,80;9871,10;12173,20;14052,30;15670,50;16693,70;19655,90;23611,30
Axborot va aloqa ;1247,80;1580,50;2039,90;2435,90;2951,50;3487,70;4419,30;5649,60;7004,70
Boshqa turdagi xizmatlar ko`rsatish ;13248,70;17194,20;22039,30;27509,20;33085,30;40203,20;46870,70;55115,80;72143,10
Mahsulotlarga sof soliqlar;9463,60;11627,50;14316,80;15928,40;18380,40;20146,90;22431,50;34792,00;45575,80
